-1,147,410.00","1,100,000.00"
1541,20240111,TH0010000869,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活7号集合资产管理计划,0000000003034,601847,民汇62号,赎回,¥0.00,"￥-2,076,200.00","2,000,000.00"
1542,20240409,TH6010001122,光大资管,上海光大证券资产管理有限公司代光证资管汇福双周享2号集合资产管理计划,0000000004051,601847,民汇62号,赎回,¥0.00,"￥-2,090,800.00","2,000,000.00"
1544,20240514,TH6010001241,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享3号集合资产管理计划,0000000004380,601847,民汇62号,赎回,¥0.00,"￥-2,096,000.00","2,000,000.00"
1545,20240514,TH6010001121,光大资管,上海光大证券资产管理有限公司代光证资管汇福双周享1号集合资产管理计划,0000000004050,601847,民汇62号,赎回,¥0.00,"￥-2,096,000.00","2,000,000.00"
1546,20240627,TH6010001241,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享3号集合资产管理计划,0000000004380,601847,民汇62号,赎回,¥0.00,"￥-2,102,400.00","2,000,000.00"
1547,20240822,TH0010000832,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活2号集合资产管理计划,0000000002894,601847,民汇62号,赎回,¥0.00,"￥-2,110,000.00","2,000,000.00"
1548,20240313,TH0010000876,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活8号集合资产管理计划,0000000003071,601847,民汇62号,赎回,¥0.00,"￥-2,190,720.00","2,100,000.00"
1549,20240522,TH6010001241,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享3号集合资产管理计划,0000000004380,601847,民汇62号,赎回,¥0.00,"￥-2,201,850.00","2,100,000.00"
1550,20240528,TH6010000994,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活13号集合资产管理计划,0000000003711,601847,民汇62号,赎回,¥0.00,"￥-2,202,900.00","2,100,000.00"
1551,20240528,TH6010001121,光大资管,上海光大证券资产管理有限公司代光证资管汇福双周享1号集合资产管理计划,0000000004050,601847,民汇62号,赎回,¥0.00,"￥-2,202,900.00","2,100,000.00"
1554,20240131,TH0010000876,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活8号集合资产管理计划,0000000003071,601847,民汇62号,赎回,¥0.00,"￥-2,235,570.00","2,150,000.00"
1558,20240508,TH0010000878,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活9号集合资产管理计划,0000000003091,601847,民汇62号,赎回,¥0.00,"￥-2,304,720.00","2,200,000.00"
1563,20240117,TH0010000849,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活4号集合资产管理计划,0000000002950,601847,民汇62号,赎回,¥0.00,"￥-2,388,780.00","2,300,000.00"
1564,20240415,TH6010013876,光大资管,上海光大证券资产管理有限公司代光证资管佰沣1号FOF集合资产管理计划,0000000005420,601847,民汇62号,赎回,¥0.00,"￥-2,409,908.79","2,304,368.70"
1565,20240514,TH0010000878,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活9号集合资产管理计划,0000000003091,601847,民汇62号,赎回,¥0.00,"￥-2,410,400.00","2,300,000.00"
1566,20240521,TH0010000905,光大资管,上海光大证券资产管理有限公司代光证资管汇福乐活11号集合资产管理计划,0000000003290,601847,民汇62号,赎回,¥0.00,"￥-2,411,550.00","2,300,000.00"
1567,20240830,TH6010001241,光大资管,上海光大证券资产管理有限公司代光证资管汇福周周享3号集合资产管理计划,0000000004380,601847,民汇62号,赎回,¥0.00,"￥-2,427,880.00","2,300,000.00"
